      1024,        8,    13.0612,  26.76%
      1024,       32,     8.3138,  26.95%
      1024,       64,     9.5238,  27.15%
      1024,      128,     9.5722,  25.29%
      4096,        8,    40.5192,  25.81%
      4096,       32,    49.6702,  26.93%
      4096,       64,    38.0160,  27.76%
      4096,      128,    36.4361,  27.03%
     16384,        8,   170.1562,  26.50%
     16384,       32,    97.8032,  27.18%
     16384,       64,   155.2456,  26.72%
     16384,      128,   142.9369,  26.70%
     65536,        8,   373.1098,  27.01%
     65536,       32,   514.1853,  26.92%
     65536,       64,   577.8781,  26.79%
     65536,      128,   604.6649,  26.94%
    262144,        8,   666.1788,  26.73%
    262144,       32,  1488.9131,  26.79%
    262144,       64,  1623.4642,  26.72%
    262144,      128,  1640.3685,  26.91%
   1048576,        8,   747.5134,  26.87%
   1048576,       32,  2040.9842,  26.79%
   1048576,       64,  3164.4615,  26.92%
   1048576,      128,  3052.4454,  26.88%
   2097152,        8,   807.8896,  26.88%
   2097152,       32,  2477.3569,  26.84%
   2097152,       64,  3989.5296,  26.86%
   2097152,      128,  4333.8182,  26.87%
